ID;Country;Continent;Price;Highest.point;Lowest.point;Beginner.slopes;Intermediate.slopes;Difficult.slopes;Total.slopes;Longest.run;Snow.cannons;Surface.lifts;Chair.lifts;Gondola.lifts;Total.lifts;Lift.capacity;Child.friendly;Snowparks;Nightskiing;Summer.skiing
153;France;Europe;46;2353;850;98;134;31;263;5;888;50;27;9;86;106362;Yes;Yes;Yes;No
154;United States;North America;110;3398;2072;55;69;126;250;9;0;11;22;1;34;36283;Yes;Yes;No;No
155;United States;North America;124;3813;2473;14;111;111;236;8;0;6;13;2;21;27765;Yes;Yes;Yes;No
156;Andorra;Europe;47;2640;1710;100;77;33;210;0;1032;37;28;7;72;99017;Yes;Yes;Yes;No
157;Switzerland;Europe;68;3018;1100;88;81;19;188;14;300;13;9;11;33;46116;Yes;Yes;No;No
158;France;Europe;39;2750;1650;75;90;20;185;0;0;32;17;2;51;50145;Yes;Yes;Yes;No
159;France;Europe;44;2550;1250;115;35;15;165;0;332;36;17;3;56;60248;Yes;Yes;No;No
160;France;Europe;39;2594;1430;75;60;15;150;0;400;12;17;2;31;43300;Yes;Yes;Yes;No
161;Austria;Europe;52;2500;580;43;89;11;143;10;792;22;21;13;56;89415;Yes;Yes;No;No
162;Spain;Europe;45;2531;1616;76;47;18;141;0;1010;19;13;1;33;39750;Yes;Yes;Yes;No
163;Canada;North America;66;2637;1646;35;62;42;139;8;0;4;5;1;10;14040;Yes;Yes;No;No
164;France;Europe;34;1600;1150;60;45;30;135;8;440;7;9;3;19;25030;Yes;Yes;No;No
165;United States;North America;67;2712;2101;30;50;55;135;0;0;3;6;0;9;13470;Yes;Yes;Yes;No
166;United States;North America;120;3651;2835;25;65;45;135;5;0;7;11;4;22;30500;Yes;Yes;Yes;No
167;Italy;Europe;52;2550;1324;70;52;8;130;8;391;18;30;11;59;89327;Yes;Yes;No;No
168;United States;North America;90;1285;355;37;43;46;126;9;1500;5;15;3;23;41660;Yes;Yes;No;No
169;United States;North America;89;3767;2926;30;40;56;126;0;0;7;15;1;23;29084;Yes;Yes;No;No
170;France;Europe;37;2477;1040;62;40;23;125;0;223;28;14;7;49;59346;Yes;Yes;Yes;No
171;France;Europe;36;2050;1050;50;50;25;125;0;339;18;7;3;28;26600;Yes;Yes;No;No
172;France;Europe;36;2800;1300;73;42;10;125;0;200;13;13;2;28;39824;Yes;Yes;Yes;No
173;France;Europe;34;2603;1800;75;35;10;120;8;430;12;7;3;22;21807;Yes;Yes;Yes;No
174;Switzerland;Europe;51;2310;1201;60;40;20;120;15;297;10;9;0;19;20720;Yes;Yes;Yes;No
175;France;Europe;36;2400;1350;46;36;38;120;0;200;15;8;1;24;32232;Yes;Yes;No;No
176;Switzerland;Europe;69;3303;1797;13;89;17;119;9;0;5;6;3;14;18510;Yes;Yes;Yes;No
177;United States;North America;81;1286;426;28;40;51;119;5;0;2;12;0;14;20720;Yes;Yes;No;No
178;Canada;North America;62;1915;1155;20;50;45;115;8;0;4;6;0;10;12000;Yes;Yes;Yes;No
179;United States;North America;84;3795;2805;27;28;58;113;0;0;4;11;0;15;17000;Yes;Yes;No;No
180;Austria;Europe;46;2002;600;30;69;11;110;7;483;16;9;5;30;49386;Yes;Yes;Yes;No
181;Canada;North America;66;2730;1660;25;50;34;109;8;2;2;9;1;12;20950;Yes;Yes;No;No
182;Italy;Europe;33;807;803;42;51;11;104;0;0;19;14;0;33;26068;Yes;Yes;Yes;No
183;Switzerland;Europe;53;1845;759;42;50;12;104;4;258;18;8;12;38;41109;Yes;Yes;Yes;No
184;Austria;Europe;47;2055;1087;18;77;8;103;7;800;17;7;4;28;31186;Yes;Yes;Yes;No
185;United States;North America;99;3353;2365;27;38;38;103;5;0;2;10;1;13;17900;Yes;Yes;Yes;No
186;Italy;Europe;36;2694;1312;54;38;8;100;0;0;13;9;1;23;27588;Yes;Yes;No;No
187;France;Europe;42;1600;812;60;30;10;100;3;290;17;11;3;31;38733;Yes;Yes;Yes;No
188;France;Europe;34;2725;1850;55;38;7;100;0;0;20;7;3;30;29605;Yes;Yes;No;No
189;France;Europe;36;2450;1450;60;30;10;100;0;180;18;5;1;24;27646;Yes;Yes;No;No
190;France;Europe;42;2500;1250;58;35;7;100;6;0;21;15;2;38;40231;Yes;Yes;No;No
191;United States;North America;93;2957;2407;20;30;50;100;3;0;2;6;0;8;15000;Yes;Yes;No;No
192;Australia;Oceania;87;1790;1390;25;45;30;100;2;216;13;13;1;27;33600;Yes;Yes;Yes;Yes
193;United States;North America;50;1525;1070;24;45;31;100;3;0;2;8;0;10;15500;Yes;Yes;No;No
194;United States;North America;102;2632;2083;25;40;35;100;5;0;2;11;0;13;16200;Yes;Yes;No;No
195;United States;North America;109;2917;2003;27;41;32;100;3;0;3;20;1;24;46600;Yes;No;No;No
196;Australia;Oceania;0;1605;1125;22;60;18;100;3;271;34;14;1;49;46975;Yes;Yes;Yes;Yes
197;United States;North America;56;3628;3139;20;35;45;100;0;0;2;7;0;9;11200;Yes;No;No;No
198;United States;North America;54;2078;1392;10;60;30;100;3;0;2;4;0;6;4910;Yes;No;Yes;No
199;United States;North America;79;2763;1737;15;25;60;100;4;0;2;11;0;13;25900;Yes;Yes;No;No
200;United States;North America;120;2624;1929;25;45;27;97;4;0;7;10;3;20;28002;Yes;Yes;No;No
201;Switzerland;Europe;61;2844;810;20;60;16;96;12;169;4;6;8;18;26795;Yes;Yes;No;No
202;United States;North America;66;1950;1206;20;40;35;95;4;0;2;7;0;9;14200;Yes;Yes;Yes;No
203;United States;North America;120;3060;2001;18;42;34;94;8;265;8;18;2;28;42790;Yes;Yes;No;No
204;Canada;North America;50;2273;1410;9;20;65;94;5;0;3;4;1;8;6100;Yes;Yes;No;No
205;Austria;Europe;30;1130;900;1;0;1;2;0;0;2;0;0;2;1932;Yes;No;No;No
206;United States;North America;61;3871;3245;12;38;43;93;3;0;2;9;0;11;13000;Yes;Yes;No;No
207;United States;North America;90;1181;600;60;20;12;92;0;0;3;9;1;13;26900;Yes;Yes;Yes;No
208;Australia;Oceania;87;1780;1500;15;65;12;92;3;0;6;8;0;14;19992;Yes;Yes;Yes;Yes
209;United States;North America;107;2788;1752;35;40;17;92;0;0;1;12;1;14;24500;Yes;No;No;No
210;Sweden;Europe;45;1274;380;45;38;8;91;6;0;27;5;4;36;39000;Yes;Yes;Yes;No
211;United States;North America;65;2078;1361;18;46;27;91;5;0;3;12;0;15;22600;Yes;Yes;Yes;No
212;Italy;Europe;41;2141;1309;37;32;20;89;0;0;11;11;4;26;36602;Yes;No;No;No
213;France;Europe;34;2250;1400;45;35;10;90;0;78;8;7;1;16;24398;Yes;Yes;Yes;No
214;France;Europe;32;2020;1412;45;35;10;90;0;400;22;7;0;29;25940;Yes;Yes;No;No
